sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
6.0,225.0,2780000.0,1.0,2.0,3.0,2.0,7.5,1.0,1.0,9.0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,156.0,2205000.0,1.5,2.0,3.0,3.0,7.0,1.0,1.0,6.0,0,0,0,0,0,1,0,0,1,0,0,1
2.0,96.0,1150000.0,2.0,2.0,3.0,3.0,14.0,1.0,1.0,4.0,0,0,0,0,0,1,1,0,0,0,0,1
5.0,288.0,3400000.0,1.0,2.0,3.0,3.0,11.5,1.1538461538461537,1.0,7.0,0,0,0,0,0,1,0,1,0,0,0,0
4.0,169.0,1965000.0,1.0,1.0,2.0,5.0,9.0,1.3076923076923077,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,140.0,1660000.0,2.0,1.0,1.0,1.0,6.0,1.4615384615384617,1.0,5.0,0,0,0,0,0,1,0,1,1,0,1,1
1.0,44.0,510000.0,1.0,1.0,1.0,3.0,5.0,1.6153846153846154,1.0,2.0,0,0,0,0,0,0,0,0,1,0,1,1
1.0,34.0,538000.0,1.3333333333333333,1.0,1.0,2.0,5.0,1.7692307692307692,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,57.0,560000.0,1.6666666666666665,1.5,3.0,2.0,9.0,1.9230769230769231,1.0,2.0,0,0,0,0,0,1,0,1,0,1,0,0
5.0,349.0,4500000.0,2.0,2.0,5.0,6.0,8.0,2.076923076923077,1.0,8.0,0,0,0,0,0,1,0,1,1,1,1,1
5.0,349.0,4500000.0,2.0,2.0,5.0,6.0,8.0,2.230769230769231,1.0,8.0,0,0,0,0,0,1,0,1,1,1,1,1
4.0,169.0,1965000.0,1.0,1.0,2.0,5.0,9.0,2.3846153846153846,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,28.0,385000.0,1.0,1.25,1.0,4.25,5.0,2.5384615384615383,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,58.0,550000.0,1.0,1.5,1.0,3.5,5.0,2.6923076923076925,1.0,2.0,0,0,0,0,0,1,0,1,0,0,0,1
1.0,41.0,425000.0,1.0,1.75,1.0,2.75,6.0,2.8461538461538463,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,1
4.0,249.0,6000000.0,1.0,2.0,4.0,2.0,5.666666666666667,3.0,1.0,7.0,0,0,0,0,0,1,0,1,0,1,1,0
1.0,86.0,950000.0,2.0,1.5,2.0,3.5,5.333333333333333,2.857142857142857,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,44.0,455000.0,1.6666666666666667,1.0,1.5,5.0,5.0,2.7142857142857144,1.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,86.0,1150000.0,1.3333333333333335,1.0,1.0,2.0,8.0,2.5714285714285716,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,92.0,1150000.0,1.0,1.0,1.0,1.0,6.0,2.428571428571429,1.0,3.0,0,0,1,0,0,1,0,1,0,0,1,1
1.0,34.0,510000.0,1.0,1.0,1.0,3.0,1.0,2.2857142857142856,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
