,sl_prix,sl_style,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
248,729000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,44,1,1,1,5,7,1,1,2
249,330000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,55,1,1,1,5,9,1,1,2
250,6300000.0,0,0,0,0,0,1,0,0,0,0,1,1,6,400,1,5,6,3,5,1,1,11
251,1850000.0,0,0,0,0,0,1,1,0,1,0,1,1,2,122,1,2,3,3,6,1,1,4
252,599000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,50,1,1,1,7,7,1,1,2
253,2300000.0,0,0,1,0,0,1,0,1,0,1,1,1,2,157,2,1,4,10,6,1,1,5
254,1679000.0,0,0,1,0,0,1,0,1,0,0,1,0,3,130,1,1,2,1,6,1,1,5
255,208000.0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,1,1,1,6,6,1,1,1
256,1540000.0,0,0,0,0,0,1,0,1,0,0,1,0,3,110,1,1,1,3,6,1,1,4
257,194000.0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,1,1,1,6,6,1,1,1
258,690000.0,0,0,0,0,0,1,0,1,1,0,1,0,2,64,1,1,1,1,6,1,1,4
259,235000.0,0,0,1,0,0,1,0,1,0,1,0,1,1,39,1,1,1,4,8,1,1,2
260,330000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,55,1,1,1,5,9,1,1,2
261,729000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,44,1,1,1,5,8,1,1,2
262,890000.0,0,0,0,0,0,1,0,1,0,0,0,0,3,90,1,1,1,4,7,1,1,4
263,749000.0,0,0,0,0,0,0,0,1,1,0,0,0,2,58,1,1,1,3,6,1,1,3
264,252500.0,0,0,0,0,0,0,0,0,1,0,0,0,2,19,1,1,1,6,6,1,1,1
265,126000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,1,1,5,5,1,1,1
266,349000.0,0,0,0,0,0,1,0,0,0,0,0,1,2,28,1,1,1,8,5,1,1,1
267,1103000.0,0,0,0,0,0,1,0,0,0,0,1,1,3,107,1,1,2,1,5,1,1,4
268,420000.0,0,0,0,0,0,0,0,1,0,1,0,1,1,35,1,1,1,6,6,1,1,2
269,1310000.0,0,0,1,0,0,1,0,1,0,1,0,1,2,101,1,1,1,4,10,1,1,4
270,898000.0,0,0,1,0,0,1,0,1,0,1,0,0,2,66,1,1,1,7,7,1,1,3
271,850000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,1,1,1,7,7,1,1,3
272,210000.0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,1,1,1,7,7,1,1,1
273,1540000.0,0,0,0,0,0,1,0,1,0,0,1,0,3,110,1,1,1,3,7,1,1,4
274,235000.0,0,0,1,0,0,1,0,1,0,1,0,1,1,39,1,1,1,4,8,1,1,2
275,651000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,44,1,1,1,5,7,1,1,2
276,1830000.0,0,0,0,0,0,1,0,1,0,0,1,1,3,121,1,1,2,4,6,1,1,5
277,3100000.0,0,0,0,0,0,1,0,1,1,0,1,1,5,270,1,3,3,4,6,1,1,8
278,1930000.0,0,0,0,0,0,0,0,1,0,0,1,1,4,177,3,1,4,3,6,1,1,6
279,1575000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,60,1,1,1,2,7,1,1,3
280,60000.0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,1,1,1,1,9,1,1,1
281,299000.0,0,0,0,0,0,1,0,0,0,0,0,1,1,15,1,1,1,1,5,1,1,1
282,1310000.0,0,0,1,0,0,1,0,1,0,1,0,1,2,101,1,1,1,4,10,1,1,4
283,830000.0,0,0,0,0,0,1,0,0,0,0,0,1,2,62,2,1,1,1,9,1,1,4
284,898000.0,0,0,1,0,0,1,0,1,0,1,0,0,2,66,1,2,1,7,7,1,1,3
285,850000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,1,2,1,4,6,1,1,3
286,2280000.0,0,0,0,0,0,1,0,1,0,0,1,1,4,236,3,3,1,1,5,1,1,7
287,485000.0,0,0,0,0,0,0,0,1,0,0,0,0,2,47,2,2,1,3,5,1,1,3
288,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,1,6,6,1,1,1
289,565000.0,0,0,0,0,0,1,0,1,0,0,1,0,1,43,1,1,1,4,7,1,1,2
290,2900000.0,0,0,0,0,0,1,0,1,0,1,0,0,4,172,1,1,1,5,7,1,1,5
291,125000.0,0,0,0,0,0,1,0,0,0,0,0,1,3,10,1,1,1,7,7,1,1,1
292,870000.0,0,0,0,0,0,0,0,1,0,0,0,1,2,90,1,1,1,5,8,1,1,4
293,312000.0,0,0,0,0,0,1,0,0,1,0,0,0,1,23,1,1,1,3,3,1,1,2
294,930000.0,0,0,0,0,0,1,0,0,1,1,0,0,2,60,1,1,1,5,6,1,1,3
295,3490000.0,0,0,0,0,0,0,0,1,0,0,1,1,5,303,1,2,2,3,5,1,1,8
